"ROWFIELD NAME","TYPE","LEN","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"177 DISPROTHER","A/N","3","1389","1391","","Pharmacy Dispenser Type","""The dispenser type, which further clarifies the dispenser class in the"
"","","","","","","","field above. Valid values are these:"
"","","","","","","","0=Other"
"","","","","","","","1=Retail"
"","","","","","","","10=State Hospital"
"","","","","","","","11=Institution"
"","","","","","","","12=HMO Pharmacy"
"","","","","","","","2=Grocery Store"
"","","","","","","","3=Department Store"
"","","","","","","","4=Long Term Care"
"","","","","","","","5=Mail Order"
"","","","","","","","6=IV Infusion"
"","","","","","","","7=Dispensing Physician"
"","","","","","","","8=Indian Health Services"
"","","","","","","","9=VA Hospital"""
"178 PHARMZIP","A/N","10","1392","1401","","Pharmacy ZIP","The Pharmacy zip code from the NCPDP based pharmacy information"
"","","","","","","","within the RxCLAIM system."
"179 PRESNETWID","A/N","6","1402","1407","","Prescriber Network ID","Groups prescribers together into prescriber networks. Prescriber"
"","","","","","","","networks are used to restrict which prescribers a member may go to"
"","","","","","","","for treatment by attaching these networks to plans. Plans also attach"
"","","","","","","","special pricing or copays to prescriber networks to o"
"180 PRESCRIBER","A/N","15","1408","1422","","Submitted Prescriber ID","Prescriber submitted on the pharmacy claim. (Can sometimes be"
"","","","","","","","DEA#. Qualify using Prescriber Id Qualifier = ‘12’.)"
"181 PRESCRIDQL","A/N","2","1423","1424","","Submitted Prescriber ID Qualifier","The Code qualifying the type of Prescriber ID submitted."
"","","","","","","","*BLANK – Not Specified"
"","","","","","","","01-Nat’l Provider Identifier"
"","","","","","","","02-Blue Cross"
"","","","","","","","03-Blue Shield"
"","","","","","","","04-Medicare"
"","","","","","","","05-Medicaid"
"","","","","","","","06-UPIN"
"","","","","","","","08-State License"
"","","","","","","","09-Champus"
"","","","","","","","10-Health Industry Number"
"","","","","","","","11-Federal Tax ID"
"","","","","","","","12-Drug Enforcement Admin"
"","","","","","","","13-State Issued"
"","","","","","","","14-Plan Specific"
"","","","","","","","15-HCID (HC Idea)"
"","","","","","","","16=CMEA Certificate ID"
"","","","","","","","99-Other"
"182 NPIPRESCR","A/N","10","1425","1434","","Prescriber NPI","The corresponding NPI associated with the Submitted Prescriber ID"
"183 PRESCDEAID","A/N","15","1435","1449","","Prescriber DEA ID (2-byte prefix, 12-","The corresponding DEA ID associated with the Submitted Prescriber"
"","","","","","","byte DEA, 1-byte Business Activity","ID.  The standard DEA ID is 9 characters. However, RxTRACK"
"","","","","","","Code)","includes at least one extra character indicating licensing at the end of"
"","","","","","","","the standard DEA ID. When building queries, to match this"
"184 PRESLSTNME","A/N","25","1450","1474","","Prescriber Last Name","The prescriber’s first name as indicated within the NCPDP information"
"","","","","","","","contained within the RxCLAIM system. If prescriber match is found in"
"","","","","","","","the prescriber table, list last name."
"185 PRESFSTNME","A/N","15","1475","1489","","Prescriber First Name","The prescriber’s first name as indicated within the NCPDP information"
"","","","","","","","contained within the RxCLAIM system. If a prescriber match is found"
"","","","","","","","in the prescriber table, list first name."
"186 PRESMDINIT","A/N","1","1490","1490","","Prescriber Middle Initial","The prescriber’s middle initial as indicated within the NCPDP"
"","","","","","","","information contained within the RxCLAIM system. If a prescriber"
"","","","","","","","match is found in the prescriber table, list first name."
"187 PRESSPCCDE","A/N","6","1491","1496","","Prescriber Specialty Code","Prescriber Specialty Code, either user-defined or loaded from the"
"","","","","","","","NTIS Prescriber Load, as stored in the Prescriber Specialty File"
"","Catamaran Confidential","","","","","",""
"","","","","","","","(RCPSPP)."
"","","","","","","01/08/2013",""
