"ROWFIELD NAME","TYPE","LEN","START","ENDFORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"249 RVLVLSERVC","A/N","2","2029","2030","Reversal Level of Service Code","For Reversals ""Code indicating the type of service the provider"
"","","","","","","rendered.  This code may entitle the provider to incentive fees.  Valid"
"","","","","","","values are:"
"","","","","","","00 = Not specified"
"","","","","","","01 = Patient consultation"
"","","","","","","02 = Home delivery"
"","","","","","","03 = Emergency"
"","","","","","","04 = 24 hour service"
"","","","","","","05 = Patient consultation regarding generic product selection"""
"250 DRGCNFLCT1","A/N","2","2031","2032","Drug Conflict Code 1","The first drug conflict code submitted on the claim.  This code"
"","","","","","","identifies the type of utilization conflict that was detected during"
"","","","","","","ORDUR, or the reason for the pharmacist’s professional service."
"","","","","","","RxTRACK captures the first three codes sent back to the p"
"251 SEVERITY1","A/N","1","2033","2033","Severity Index Code 1","DUR (Drug Utilization Review).  Indicates how significant the first"
"","","","","","","conflict is. This field reflects the significance that the originating"
"","","","","","","database assigned to it."
"","","","","","","Values:"
"","","","","","","0 =  Not specified"
"","","","","","","1 =  Major"
"","","","","","","2 =  Moderate"
"","","","","","","3 =  Minor"
"252 OTHRPHARM1","A/N","1","2034","2034","Other Pharmacy Indicator 1","Indicates the source of the first prescription that forms the basis for the"
"","","","","","","conflict with the current prescription. Values:"
"","","","","","","Blank = Unknown"
"","","","","","","0 = Not specified"
"","","","","","","1 = Your pharmacy"
"","","","","","","2 = Other pharmacy same chain"
"","","","","","","3 = Other pharmacy"
"253 DTEPRVFIL1","N","8","2035","2042 CCYYMMDD","Date of Previous Fill 1","The date of the first fill that forms the basis for the conflict with the"
"","","","","","","current prescription."
"254 QTYPRVFIL1","N","12","2043","2054 ZZZZZZZ9.999","Quantity of Previous Fill 1","The quantity of the first fill that forms the basis for the conflict with the"
"","","","","","","current prescription."
"255 DATABASE1","A/N","1","2055","2055","Database Indicator 1","The identifying source of the data constructing the message. Refer to"
"","","","","","","DUR 1 Database Ind."
"256 OTHRPRESC1","A/N","1","2056","2056","Other Prescriber Indicator 1","A comparison of the current prescription’s prescriber and the"
"","","","","","","prescriber of the previously filled conflicting prescription. Values:"
"","","","","","","0 = Not applicable"
"","","","","","","1 = Same prescriber"
"","","","","","","2 = Other prescriber"
"257 FREETEXT1","A/N","30","2057","2086","Free Text 1","Free text message sent with the first conflict code."
"258 DRGCNFLCT2","A/N","2","2087","2088","Drug Conflict Code 2","The second drug conflict code submitted on the claim."
"259 SEVERITY2","A/N","1","2089","2089","Severity Index Code 2","Indicates how significant the second conflict is."
"260 OTHRPHARM2","A/N","1","2090","2090","Other Pharmacy Indicator 2","Indicates the source of the second prescription that forms the basis for"
"","","","","","","the conflict with the current prescription."
"261 DTEPRVFIL2","N","8","2091","2098 CCYYMMDD","Date of Previous Fill 2","The date of the second fill that forms the basis for the conflict with the"
"","","","","","","current prescription."
"262 QTYPRVFIL2","N","12","2099","2110 ZZZZZZZ9.999","Quantity of Previous Fill 2","The quantity of the second fill that forms the basis for the conflict with"
"","","","","","","the current prescription."
"263 DATABASE2","A/N","1","2111","2111","Database Indicator 2","The identifying source of the data constructing the message. Refer to"
"","","","","","","Database Indicator 1."
"264 OTHRPRESC2","A/N","1","2112","2112","Other Prescriber Indicator 2","A comparison of the current prescription’s prescriber and the"
"","","","","","","prescriber of the second filled conflicting prescription."
"265 FREETEXT2","A/N","30","2113","2142","Free Text 2","Free text message sent with the second conflict code."
"266 DRGCNFLCT3","A/N","2","2143","2144","Drug Conflict Code 3","The third drug conflict code submitted on the claim."
"267 SEVERITY3","A/N","1","2145","2145","Severity Index Code 3","Indicates how significant the third conflict is."
"268 OTHRPHARM3","A/N","1","2146","2146","Other Pharmacy Indicator 3","Indicates the source of the third prescription that forms the basis for"
"","","","","","","the conflict with the current prescription."
"269 DTEPRVFIL3","N","8","2147","2154 CCYYMMDD","Date of Previous Fill 3","The date of the third fill that forms the basis for the conflict with the"
"","","","","","","current prescription."
"","Catamaran Confidential","","","","",""
"","","","","","01/08/2013",""
