"ROWFIELD NAME","TYPE","LEN","START","ENDFORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"468 RSPPLNSTAX","N","11","4211","4221 -------9.99","Response Plan Sales Tax Amt","The Response Plan sales tax responsibility. This field is not a"
"","","","","","","component of the Patient Pay Amount (5Ø5-F5) formula."
"469 RSPPRVNSEL","N","11","4222","4232 -------9.99","Response Amt Attrib to Provider","The Response amount to be collected from the patient that is included"
"","","","","","Network Selection","in ‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient’s provider"
"","","","","","","network selection."
"470 RSPPSCBRND","N","11","4233","4243 -------9.99","Response PatPay Amt Attrib to","The Response  amount to be collected from the patient that is included in ‘Patient Pay"
"","","","","","PSC/Brand Drug","Amount’ (5Ø5-F5) that is due to the patient’s selection of a Brand product."
"471 RSPPSCNONP","N","11","4244","4254 -------9.99","Response PatPay Amt Attrib to","The Response  amount to be collected from the patient that is included in ‘Patient Pay"
"","","","","","PSC/NonPref Formulary","Amount’ (5Ø5-F5) that is due to the patient’s selection of a Non-Preferred Formulary"
"","","","","","","product."
"472 RSPPSCBRNP","N","11","4255","4265 -------9.99","Response PatPay Amt Attrib to","The Response amount to be collected from the patient that is included in ‘Patient Pay"
"","","","","","PSC/Brand NonPref Formulary","Amount’ (5Ø5-F5) that is due to the patient’s selection of a Brand Non-Preferred"
"","","","","","","Formulary product."
"473 RSPCOVGAP","N","11","4266","4276 -------9.99","Response Amt Attrib to Coverage","The Response amount to be collected from the patient that is included in ‘Patient Pay"
"","","","","","Gap","Amount’ (5Ø5-F5) that is due to the patient being in the coverage gap (for example"
"","","","","","","Medicare Part D Coverage Gap (donut hole)). A coverage gap is defined as the period"
"","","","","","","or amount during"
"474 RSPINGCSTC","N","11","4277","4287 -------9.99","Response Ingredient Cost","The Response  informational field used when Other Payer-Patient Responsibility"
"","","","","","Contracted/Reimb Amt","Amount (352-NQ) or Patient Pay Amount (5Ø5-F5) is used for reimbursement. Amount"
"","","","","","","is equal to contracted or reimbursable amount for product being dispensed."
"475 RSPDSPFEEC","N","11","4288","4298 -------9.99","Response Dispensing Fee","The Response informational field used when Other Payer-Patient Responsibility"
"","","","","","Contracted/Reimb Amt","Amount (352-NQ) or Patient Pay Amount (5Ø5-F5) is used for reimbursement. Amount"
"","","","","","","is equal to contracted or reimbursable dispensing fee for product being dispensed."
"476 RSPPLANID","A/N","8","4299","4306","Response Plan ID","The Plan Id associated with the transaction as transmitted back to the"
"","","","","","","provider."
"477 BENSTGQL1","A/N","2","4307","4308","Benefit Stage Qualifier 1","Must only have one value per iteration - value must not be repeated"
"","","","","","","01=Deductible"
"","","","","","","02=Initial Benefit"
"","","","","","","03=Coverage Gap"
"","","","","","","04=Catastrophic Coverage"
"478 BENSTGAMT1","N","11","4309","4319 -------9.99","Benefit Stage Amount 1","Required if the previous payer has financial amounts that apply to"
"","","","","","","Medicare Part D beneficiary benefit stages. This field is required when"
"","","","","","","the plan is a participant in a Medicare Part D program that requires"
"","","","","","","reporting of benefit stage specific financial amounts. Required if"
"","","","","","","necessary for state/federal/regulatory agency"
"479 BENSTGQL2","A/N","2","4320","4321","Benefit Stage Qualifier 2","Must only have one value per iteration - value must not be repeated"
"","","","","","","01=Deductible"
"","","","","","","02=Initial Benefit"
"","","","","","","03=Coverage Gap"
"","","","","","","04=Catastrophic Coverage"
"480 BENSTGAMT2","N","11","4322","4332 -------9.99","Benefit Stage Amount 2","Required if the previous payer has financial amounts that apply to"
"","","","","","","Medicare Part D beneficiary benefit stages. This field is required when"
"","","","","","","the plan is a participant in a Medicare Part D program that requires"
"","","","","","","reporting of benefit stage specific financial amounts. Required if"
"","","","","","","necessary for state/federal/regulatory agency"
"481 BENSTGQL3","A/N","2","4333","4334","Benefit Stage Qualifier 3","Must only have one value per iteration - value must not be repeated"
"","","","","","","01=Deductible"
"","","","","","","02=Initial Benefit"
"","","","","","","03=Coverage Gap"
"","","","","","","04=Catastrophic Coverage"
