"ROW","FIELD NAME","TYPE","LEN","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions","Field Descriptions Continued"
"","63 SBMPLSRVCE","A/N","2","523","524","","Submitted Place of Service","Location of Patient when receiving Pharmacy services.  Code","41=Ambulance-Land"
"","","","","","","","","identifying the place where a drug or service is dispensed or","42=Ambulance-Air or Water"
"","","","","","","","","administered.  NCPDP standard (Version B.0) renamed Patient","49=Independent Clinic"
"","","","","","","","","Location to ‘Place of Service’, however the ‘Patient Residence’ field","50=Federally Qualified Health"
"","","","","","","","","will be used to process the Customer Location plan edit.","Center"
"","","","","","","","","","51=Inpatient Psychiatric Facility"
"","","","","","","","","01=Pharmacy","52=Psychiatric Facility-Partial"
"","","","","","","","","03=School","Hospitalization"
"","","","","","","","","04=Homeless Shelter","53=Community Mental Health"
"","","","","","","","","05=Indian Health Service Free-standing Facility","Center"
"","","","","","","","","06=Indian Health Service Provider-based Facility","54=Intermediate Care"
"","","","","","","","","07=Tribal 638 Free-standing Facility","Facility/Mentally Retarded"
"","","","","","","","","08=Tribal 638 Provider-based Facility","55=Residential Substance Abuse"
"","","","","","","","","11=Office","Treatment Facility"
"","","","","","","","","12=Home","56=Psychiatric Residential"
"","","","","","","","","13=Assisted Living Facility","Treatment Center"
"","","","","","","","","14=Group Home","57=Non-residential Substance"
"","","","","","","","","15=Mobile Unit","Abuse Treatment"
"","","","","","","","","20=Urgent Care Facility","60=Mass Immunization Center"
"","","","","","","","","21=Inpatient Hospital","61=Comprehensive Inpatient"
"","","","","","","","","22=Outpatient Hospital","Rehabilitation"
"","","","","","","","","23=Emergency Room","62=Comprehensive Outpatient"
"","","","","","","","","24=Ambulatory Surgical Center","Rehabilitation Facility"
"","","","","","","","","25=Birthing Center","65=End-State Renal Disease"
"","","","","","","","","26=Military Treatment Facility","71=Public Health Clinic"
"","","","","","","","","31=Skilled Nursing Facility","72=Rural Health Clinic"
"","","","","","","","","32=Nursing Facility","81=Independent Laboratory"
"","","","","","","","","33=Custodial Care Facility","99=Other Place of Service"
"","","","","","","","","34=Hospice",""
"","64 SBMPATRESD","A/N","2","525","526","","Submitted Patient Residence","Code identifying the patient’s place of",""
"","","","","","","","","residence.",""
"","","","","","","","","00=Not Specified",""
"","","","","","","","","01=Home",""
"","","","","","","","","02=Skilled Nursing Facility",""
"","","","","","","","","03=Nursing Facility",""
"","","","","","","","","04=Assisted Living Facility",""
"","","","","","","","","05=Custodial Care Facility",""
"","","","","","","","","06=Group Home",""
"","","","","","","","","07=Inpatient Psychiatric Facility",""
"","","","","","","","","08=Psychiatric Facility-Partial Hospitalization",""
"","","","","","","","","09=Intermediate Care Facility/Mentally Retarded",""
"","","","","","","","","10=Residential Substance Abuse Treatment Facility",""
"","","","","","","","","11=Hospice",""
"","","","","","","","","12=Psychiatric Residential Treatment Facility",""
"","","","","","","","","13=Comprehensive Inpatient Rehabilitation Facility",""
"","","","","","","","","14=Homeless Shelter",""
"","","","","","","","","15=Correctional Institution",""
"","65 PRMCAREPRV","A/N","15","527","541","","Submitted Primary Care Provider ID","The primary prescriber’s Physician ID as indicated within the eligibility",""
"","","","","","","","","information contained within the RxCLAIM system. If prescriber match",""
"","","","","","","","","is found in the prescriber table, list prescriber ID.",""
"","66 PRMCAREPRQ","A/N","2","542","543","","Submitted Primary Care Provider ID","The qualifier for the primary prescriber’s id as indicated within the",""
"","","","","","","","Qualifier","eligibility information contained within the RxCLAIM system.",""
