"ROWFIELD NAME","TYPE","LEN","START","ENDFORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"15 GRPCLIBENF","A/N","10","108","117","Group Client Benefit Code","Client-defined field commonly used to describe the plan parameters by"
"","","","","","","a code, which references some other client-specific information. The"
"","","","","","","code would be transmitted with eligibility. Can be used for Deduct /"
"","","","","","","Max Limits."
"16 GROUPSIC","A/N","4","118","121","SIC Code","The Standard Industrial Classification (SIC). This is a four-digit Numal"
"","","","","","","code assigned by the U.S. government to business establishments to"
"","","","","","","identify the primary business of the establishment. This currently is a 4"
"","","","","","","digit free form field used as a reporting"
"17 CLMRESPSTS","A/N","1","122","122","Claim Response Status","Claim response status sent back to pharmacy that can differ from"
"","","","","","","""claim status"" (the status that the RxCLAIM user can see). Valid"
"","","","","","","values are:  A = Header information or claim reversal accepted  C ="
"","","","","","","Claim Captured  D = Duplicate Billing  P = Claim Payable"
"18 MEMBERID","A/N","20","123","142","Member ID","Member ID from the eligibility file, if none is found field will be"
"","","","","","","populated with the submitted member ID."
"19 MBRLSTNME","A/N","25","143","167","Member Last Name","Last name of the member"
"20 MBRFSTNME","A/N","15","168","182","Member First Name","First name of the member"
"21 MBRMDINIT","A/N","1","183","183","Member Middle Initial","Middle initial of the member"
"22 MBRPRSNCDE","A/N","3","184","186","Member Person Code","Person code of the member"
"23 MBRRELCDE","A/N","1","187","187","Member Relationship Code","Submitted Relationship Code. The ID of family member's relationship"
"","","","","","","to the cardholder. If relationship code is not found use submitted"
"","","","","","","relationship code."
"","","","","","","0= Unspecified"
"","","","","","","1= Cardholder"
"","","","","","","2= Spouse"
"","","","","","","3=Child"
"","","","","","","4=Other"
"","","","","","","5=Student"
"","","","","","","6=Disabled Dependent"
"24 MBRSEX","A/N","1","188","188","Member Sex","Gender of the member"
"25 MBRBIRTH","N","8","189","196 CCYYMMDD","Member Date of Birth","Date of birth of the member"
"26 MBRAGE","N","3","197","199 ZZ9","Member Age-as of the first of the","Member’s age calculated at the first of the month that the claim was"
"","","","","","month","submitted."
"27 MBRZIP","A/N","15","200","214","Member ZIP","The Member’s zip code from the RxCLAIM eligibility record."
"28 SOCSECNBR","A/N","9","215","223","Member Social Security Number","The Member Social Security Number associated with the transaction."
"29 DURKEY","A/N","18","224","241","Member DUR Key","Member DUR Key. RxCLAIM® unique patient identifier. This field is"
"","","","","","","optional and does not have any base system functionality and is"
"","","","","","","primarily used as a reporting field."
"30 DURFLAG","A/N","1","242","242","Member DUR Process Flag","Future use field. Member DUR Process Flag"
"31 MBRFAMLYID","A/N","20","243","262","Member Family ID","Family ID in RxCLAIM® used to aggregate financial measures like"
"","","","","","","deductibles."
"32 MBRFAMLIND","A/N","1","263","263","Member Family Indicator","A flag that denotes whether or not a claim is associated with a family."
"","","","","","","Values:"
"","","","","","","lank.YNB"
"33 MBRFAMLTYP","A/N","1","264","264","Member Family Type","""The Family Type field is used to indicate how the client defines family,"
"","","","","","","such as cardholder/spouse, cardholder other dependents, etc."
"","","","","","","Blank = Blank"
"","","","","","","1 = Family"
"","","","","","","2 = Card Holder"
"","","","","","","3 = Card Holder & Spouse"
"","","","","","","4 = Card Holder & Dependents"
"","","","","","","5 = Spouse & Dependents"
"","","","","","","6 = Dependents"
"","","","","","","7 = Spouse Only"
"","","","","","","8 = Member + 1"""
"34 COBIND","A/N","2","265","266","COB Indicator","Flag indicating that the transaction utilized COB functionality within the"
"","Catamaran Confidential","","","","",""
"","","","","","","RxCLAIM system."
"","","","","","01/08/2013",""
