"ROWFIELD NAME","TYPE","LEN","START","ENDFORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"482 BENSTGAMT3","N","11","4335","4345 -------9.99","Benefit Stage Amount 3","Required if the previous payer has financial amounts that apply to"
"","","","","","","Medicare Part D beneficiary benefit stages. This field is required when"
"","","","","","","the plan is a participant in a Medicare Part D program that requires"
"","","","","","","reporting of benefit stage specific financial amounts. Required if"
"","","","","","","necessary for state/federal/regulatory agency"
"483 BENSTGQL4","A/N","2","4346","4347","Benefit Stage Qualifier 4","Must only have one value per iteration - value must not be repeated"
"","","","","","","01=Deductible"
"","","","","","","02=Initial Benefit"
"","","","","","","03=Coverage Gap"
"","","","","","","04=Catastrophic Coverage"
"484 BENSTGAMT4","N","11","4348","4358 -------9.99","Benefit Stage Amount 4","Required if the previous payer has financial amounts that apply to"
"","","","","","","Medicare Part D beneficiary benefit stages. This field is required when"
"","","","","","","the plan is a participant in a Medicare Part D program that requires"
"","","","","","","reporting of benefit stage specific financial amounts. Required if"
"","","","","","","necessary for state/federal/regulatory agency"
"485 ESTGENSAV","N","11","4359","4369 -------9.99","Estimated Generic Savings","This information should be provided when a patient selected the brand"
"","","","","","","drug and a generic form of the drug was available. It will contain an"
"","","","","","","estimate of the difference between the cost of the brand drug and the"
"","","","","","","generic drug, when the brand drug is more expensive than the"
"","","","","","","generic.  It is information that the provider should provide to the"
"","","","","","","patient."
"486 SPDACCTREM","N","11","4370","4380 -------9.99","Spending Account Amount","This dollar amount will be provided, if known, to the receiver when the"
"","","","","","Remaining","transaction had spending account dollars reported as part of the"
"","","","","","","patient pay amount. This field is informational only. It is reported back"
"","","","","","","to the provider and the patient the amount remaining on the spending"
"","","","","","","account after the current claim updated the spending account."
"487 HLTHPLNAMT","N","11","4381","4391 -------9.99","Health Plan-Funded Assistance Amt","Required when the patient meets the plan-funded assistance criteria,"
"","","","","","","to reduce Patient Pay Amount (5Ø5-F5). The resulting Patient Pay"
"","","","","","","Amount (5Ø5-F5) must be greater than or equal to zero.  This field is"
"","","","","","","always a negative amount or zero."
"488 INDDEDPTD","N","11","4392","4402 -------9.99","Individual Accumulated Deductible -","Accumulated Deductible Amount, Period to Date as calculated within"
"","","","","","PTD","the RxCLAIM adjudication engine as of the time of the transaction."
"489 INDDEDREM","N","11","4403","4413 -------9.99","Individual Remaining Deductible","The member’s Individual Remaining Deductible Amount as calculated"
"","","","","","Amount","within the RxCLAIM adjudication engine as of the time of the"
"","","","","","","transaction."
"490 FAMDEDPTD","N","11","4414","4424 -------9.99","Family Accumulated Deductible -","The total Family Accumulated Deductible, Period to Date as calculated"
"","","","","","PTD","within the RxCLAIM adjudication engine as of the time of the"
"","","","","","","transaction."
"491 FAMDEDREM","N","11","4425","4435 -------9.99","Family Remaining Deductible","The member’s Family Remaining Deductible Amount as calculated"
"","","","","","Amount","within the RxCLAIM adjudication engine as of the time of the"
"","","","","","","transaction."
"492 DEDSCHED","A/N","10","4436","4445","Deductible Schedule Used","Deductible Schedules define the amount that members must pay out"
"","","","","","","of their own pockets prior to receiving benefits. Deductibles can be"
"","","","","","","accumulated on an individual basis or a family basis.  Deductible"
"","","","","","","Schedules are attached to plans providing flexibility i"
"493 DEDACCC","A/N","10","4446","4455","Deductible Accumulation Code Used","The ID of the Accumulation Code used by the transaction."
"","","","","","","Accumulation codes are used when determining the amounts that the"
"","","","","","","member paid towards deductibles, out-of-pocket (OOP) maximums,"
"","","","","","","and benefit maximums. During the adjudication process, RxCLAIM"
"","","","","","","locate"
"494 DEDFLAG","A/N","1","4456","4456","Deductible Flag","Flag indicating if the member's deductible has been met with this"
"","","","","","","transaction."
"","","","","","","X = Indicates that the deductible has been met, otherwise the field is"
"","","","","","","populated with spaces."
"","Catamaran Confidential","","","","",""
"","","","","","01/08/2013",""
