"ROWFIELD NAME","TYPE","LEN","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"132 DOSAGEFORM","A/N","4","1057","1060","","Drug Dosage Form","The dosage form of the drug. Examples of the codes used:  Example"
"","","","","","","","values:"
"","","","","","","","AEPB=Arsl Pwdr-Breath Activate"
"","","","","","","","AERB=Aerosol, Breath Activated"
"","","","","","","","AERO=Aerosol  AERP=Aerosol, powder"
"","","","","","","","AERS=Aerosol, solution"
"","","","","","","","BAR=Bar"
"","","","","","","","For a more exhaustive list and codes used in your system, query the"
"","","","","","","","RxCLAIM® System or reference a MEDI-SPAN manual."
"133 NDA","A/N","1","1061","1061","","NDA (Read DAS Active Records","New Drug Application"
"","","","","","","Only)",""
"134 ANDA","A/N","1","1062","1062","","ANDA  (Read DAS Active Records","Abbreviated New Drug Application"
"","","","","","","Only)",""
"135 ANDAOR","A/N","1","1063","1063","","ANDA Override","The client defined override value of the ANDA value set by Medispan"
"","","","","","","","on the product master."
"136 RXNORMCODE","A/N","10","1064","1073","","RxNORM Code  (Rx and 8 bytes of","A standardized nomenclature for clinical drugs and drug delivery"
"","","","","","","code)","devices, is produced by the National Library of Medicine (NLM)."
"137 MNTDRUGCDE","A/N","1","1074","1074","","Maintenance Drug Code (Medispan","MEDI-SPAN general guideline flagging products as potential"
"","","","","","","Maintenance)","maintenance products. Maintenance items are flagged with an X."
"138 MNTSOURCE","A/N","1","1075","1075","","Maintenance Source","If an override is used to process a claim, this field indicates the"
"","","","","","","","location of the override."
"","","","","","","","M – Medispan (No override used)"
"","","","","","","","C – Carrier Product Override"
"","","","","","","","L – Maintenance GPI List"
"139 MNTCARPROR","A/N","1","1076","1076","","Medispan Carrier Product O/R","Indicates whether a carrier-level maintenance designation exists."
"140 MNTGPILIST","A/N","1","1077","1077","","Maintenance GPI List","Indicates a Maintenance GPI List exists which contains products that"
"","","","","","","","should be considered maintenance"
"141 CPQSPCPRG","A/N","10","1078","1087","","Specialty Program","ID of the specialty program that was referenced by a claim"
"142 CPQSPCPGIN","A/N","1","1088","1088","","Specialty Program Indicator","Indicates whether a specialty schedule was used during adjudication"
"143 CPQSPCSCHD","A/N","10","1089","1098","","Specialty Schedule","Indicates the type of processing performed for this Network."
"","","","","","","","Blank = Blank"
"","","","","","","","N = No Bill/No Pay"
"144 THRDPARTYX","A/N","1","1099","1099","","Drug 3rd Party Exception Code","Third party restriction code is a MEDI-SPAN grouping of drugs by"
"","","","","","","","general categories to simplify formulary exclusions. Examples:"
"","","","","","","","Blank = None"
"","","","","","","","1 = Insulin"
"","","","","","","","2 = Oral Contraceptives"
"","","","","","","","3 = Surgical Supply/Medical Device/Ostomy"
"","","","","","","","4 = Blood Component"
"","","","","","","","5 = Diagnostic Agent"
"","","","","","","","6 = General Anesthetic"
"","","","","","","","7 = Fertility Drugs"
"","","","","","","","8 = Anorexic, Anti-obesity"
"","","","","","","","9 = Multiple Vitamin*"
"","","","","","","","A = Used For HIV Infection"
"","","","","","","","B = Bulk Chemicals"
"","","","","","","","C = Cosmetic Alteration Drugs"
"","","","","","","","D = Antidepressants"
"","","","","","","","F = Multiple Vitamin with Fluoride"
"","","","","","","","For a more exhaustive list and for codes used in your system, query"
"","","","","","","","the RxCLAIM® System or reference a MEDI-SPAN manual."
