"ROWFIELD NAME","TYPE","LEN","START","ENDFORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"382 POSPRODSEL","N","11","3321","3331 -------9.99","Post Adjudication PatPay Attrib to","Post Adjudication Patient Pay Amount Attributed to Product Selection."
"","","","","","Prdct Selection","This field populates product selection amount if the post-adjudicated"
"","","","","","","field is empty. This would be the portion of the patient pay attributable"
"","","","","","","to a fee associated with a product select"
"383 POSATRTAX","N","11","3332","3342 -------9.99","Post Adjudication PatPay Attrib to","The Post Adjudication Patient Pay Amount Attributed to Sales Tax"
"","","","","","Sales Tax",""
"384 POSEXCEBFT","N","11","3343","3353 -------9.99","Post Adjudication PatPay Attr to","Post Adjudication Patient Pay Amount Attributed to Exceeding Benefit"
"","","","","","Exceed BenMax","Max. This field populates with the (approved) exceeding benefit"
"","","","","","","amount if the post-adjudicated field is empty. Portion of patient pay"
"","","","","","","from exceeding a benefit maximum."
"385 POSINCENTV","N","11","3354","3364 -------9.99","Post Adjudication Incentive Amount","Post Adjudication Incentive Amount. This field populates with the"
"","","","","","","(approved) incentive fee if the post-adjudicated field is empty."
"386 POSATRDED","N","11","3365","3375 -------9.99","Post Adjudication PatPay Attrib to","Post Adjudication Patient Pay Amount Attributed to Deductible This"
"","","","","","Deductible","field populates with the (approved) Attributed Deductible amount if the"
"","","","","","","post-adjudicated field is empty. This would be the portion of the patient"
"","","","","","","pay attributable to a plan deductible."
"387 POSTOTHAMT","N","11","3376","3386 -------9.99","Post Adjudication Total Other","The Post Adjudication Total Other Amount."
"","","","","","Amount",""
"388 POSPROFFEE","N","11","3387","3397 -------9.99","Post Adjudication Professional","The Post Adjudication Professional Service Fee."
"","","","","","Service Fee",""
"389 POSOTHPAYA","N","11","3398","3408 -------9.99","Post Adjudication Other Payor Amt","The Post Adjudication Other Payor Amount Recognized."
"","","","","","Recognized",""
"390 POSCOSTSRC","A/N","1","3409","3409","Post Adjudication Cost Source","The Post Adjudication Cost Source which will indicate where the cost"
"","","","","","","was obtained, like Medispan, FDB, etc.  The values are:"
"","","","","","","F = First DataBank"
"","","","","","","B = First DataBank Baseline"
"","","","","","","D = First DataBank Daily"
"","","","","","","M = Medispan"
"","","","","","","P = Plan"
"","","","","","","R = Redbook"
"","","","","","","S = Submit"
"391 POSPROCFEE","N","11","3410","3420 -------9.99","Post Adjudication Amt Attrib to","The Post Adjudication amount to be collected from the patient that is"
"","","","","","Processor Fee","included in Patient Pay Amount (5Ø5-F5) that is due to the processing"
"","","","","","","fee imposed by the processor."
"392 POSPATSTAX","N","11","3421","3431 -------9.99","Post Adjudication Patient Sales Tax","The Post Adjudication  patient sales tax responsibility. This field is not"
"","","","","","Amt","a component of the Patient Pay Amount (5Ø5-F5) formula."
"393 POSPLNSTAX","N","11","3432","3442 -------9.99","Post Adjudication Plan Sales Tax","The Post Adjudication Plan sales tax responsibility. This field is not a"
"","","","","","Amt","component of the Patient Pay Amount (5Ø5-F5) formula."
"394 POSPRVNSEL","N","11","3443","3453 -------9.99","Post Adjudication Amt Attrib to","The Post Adjudication amount to be collected from the patient that is"
"","","","","","Provider Network Selection","included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient’s"
"","","","","","","provider network selection."
"395 POSPSCBRND","N","11","3454","3464 -------9.99","Post Adjudication PatPay Attrib to","The Post Adjudication  amount to be collected from the patient that is included in"
"","","","","","PSC/Brand","‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient’s selection of a Brand product."
"396 POSPSCNONP","N","11","3465","3475 -------9.99","Post Adjudication PatPay Attrib to","The Post Adjudication  amount to be collected from the patient that is included in"
"","","","","","PSC/NonPref Formulary","‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient’s selection of a Non-Preferred"
"","","","","","","Formulary product."
"397 POSPSCBRNP","N","11","3476","3486 -------9.99","Post Adjudication PatPay Amt Attrib","The Post Adjudication amount to be collected from the patient that is included in"
"","","","","","to PSC/Brand NonPref Frm","‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient’s selection of a Brand Non-"
"","","","","","","Preferred Formulary product."
"398 POSCOVGAP","N","11","3487","3497 -------9.99","Post Adjudication Amt Attrib to","The Post Adjudication  amount to be collected from the patient that is included in"
"","","","","","Coverage Gap","‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient being in the coverage gap (for"
"","","","","","","example Medicare Part D Coverage Gap (donut hole)). A coverage gap is defined as"
"","","","","","","the period or amount during"
"399 POSINGCSTC","N","11","3498","3508 -------9.99","Post Adjudication Ingredient Cost","The Post Adjudication  informational field used when Other Payer-Patient"
"","","","","","Contracted/Reimb Amt","Responsibility Amount (352-NQ) or Patient Pay Amount (5Ø5-F5) is used for"
"","","","","","","reimbursement. Amount is equal to contracted or reimbursable amount for product"
"","","","","","","being dispensed."
"","Catamaran Confidential","","","","",""
