"ROWFIELD NAME","TYPE","LEN","","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"234 REJCNT","N","","2","1977","1978 Z9","","Reject Count","The number of rejects identified that are associated with the given"
"","","","","","","","","transaction."
"235 REJCDE1","A/N","","3","1979","1981","","Reject Code 1","""The first code sent to the provider indicating the reason for"
"","","","","","","","","adjustment or reject. Examples:"
"","","","","","","","","ØØ (“M/I” MEANS MISSING/INVALID)"
"","","","","","","","","Ø1 M/I BIN"
"","","","","","","","","Ø2 M/I VERSION NUMBER"
"","","","","","","","","Ø3 M/I TRANSACTION CODE"
"","","","","","","","","Ø4 M/I PROCESSOR CONTROL NUMBER"
"","","","","","","","","Ø5 M/I PHARMACY NUMBER"
"","","","","","","","","Ø6 M/I GROUP NUMBER"
"","","","","","","","","Ø7 M/I CARDHOLDER ID NUMBER"
"","","","","","","","","Ø8 M/I PERSON CODE"
"","","","","","","","","A total list of reject codes can be created by querying the RxTRACK®"
"","","","","","","","","reference file RTRCP (conflict codes)."""
"236 REJCDE2","A/N","","3","1982","1984","","Reject Code 2","The second code sent to the provider indicating the reason for"
"","","","","","","","","adjustment or reject."
"237 REJCDE3","A/N","","3","1985","1987","","Reject Code 3","The third code sent to the provider indicating the reason for"
"","","","","","","","","adjustment or reject."
"238 RJCPLANID","A/N","","8","1988","1995","","Reject Plan ID","Client Plan used to create the reject."
"239 DURCONFLCT","A/N","","2","1996","1997","","Submitted DUR Conflict Code","The first drug conflict code submitted on the claim.  This code"
"","","","","","","","","identifies the type of utilization conflict that was detected during"
"","","","","","","","","ORDUR, or the reason for the pharmacist’s professional service."
"","","","","","","","","RxTRACK captures the first three codes sent back to the provider."
"","","","","","","","","Examples:"
"","","","","","","","","AD     Additional Drug Needed"
"","","","","","","","","AN     Prescription Authenticatn"
"","","","","","","","","AR     Adverse Drug Reaction"
"","","","","","","","","AT     Additive Toxicity"
"","","","","","","","","CD    Chronic Disease Mgmt"
"","","","","","","","","CH    Call Help Desk"
"","","","","","","","","CS     Patient Complaint/Symptom"
"","","","","","","","","DA     Drug-Allergy Alert"
"","","","","","","","","DR – Dose Range Conflict"
"","","","","","","","","UD – Duplicate Drug"
"","","","","","","","","For a complete listing of conflict codes, query RxTRACK reference file"
"","","","","","","","","RTDCCP."
"240 DURINTERVN","A/N","","2","1998","1999","","Submitted DUR Intervention Code","NCPDP Intervention Codes."
"241 DUROUTCOME","A/N","","2","2000","2001","","Submitted DUR Outcome Code","Description of an Outcome Code."
"242 LVLSERVICE","A/N","","2","2002","2003","","Submitted Level of Service","""Code indicating the type of service the provider rendered.  This code"
"","","","","","","","","may entitle the provider to incentive fees.  Valid values are:"
"","","","","","","","","00 = Not specified"
"","","","","","","","","01 = Patient consultation"
"","","","","","","","","02 = Home delivery"
"","","","","","","","","03 = Emergency"
"","","","","","","","","04 = 24 hour service"
"","","","","","","","","05 = Patient consultation regarding generic product selection"""
